,t,y(t)
Row 1,0.0,0.9866455389516162
Row 2,0.034482758620689655,0.9925539104552282
Row 3,0.06896551724137931,1.008438896895569
Row 4,0.10344827586206896,0.9976061552086346
Row 5,0.13793103448275862,0.9914317737042415
Row 6,0.1724137931034483,0.9918267395076087
Row 7,0.20689655172413793,0.9743597382104746
Row 8,0.24137931034482757,0.978523900020268
Row 9,0.27586206896551724,0.96873583796228
Row 10,0.3103448275862069,0.9462315662737313
Row 11,0.3448275862068966,0.9219826994730812
Row 12,0.3793103448275862,0.9155592930609971
Row 13,0.41379310344827586,0.8991496653284664
Row 14,0.4482758620689655,0.8916076115841081
Row 15,0.48275862068965514,0.8732303124065588
Row 16,0.5172413793103449,0.856586370527447
Row 17,0.5517241379310345,0.8394596873049546
Row 18,0.5862068965517241,0.8026293073623979
Row 19,0.6206896551724138,0.7754378223949979
Row 20,0.6551724137931034,0.7467472977339743
Row 21,0.6896551724137931,0.7241548414534449
Row 22,0.7241379310344828,0.6866877227957022
Row 23,0.7586206896551724,0.6479036685491364
Row 24,0.7931034482758621,0.6013907774252479
Row 25,0.8275862068965517,0.5508441498891506
Row 26,0.8620689655172413,0.5111813796444468
Row 27,0.896551724137931,0.44919876694817307
Row 28,0.9310344827586207,0.36673073198821743
Row 29,0.9655172413793103,0.2592815237303961
Row 30,1.0,-0.003195527810961557
