,t,y(t)
Row 1,0.0,0.8815587569764107
Row 2,0.034482758620689655,0.9830246696372709
Row 3,0.06896551724137931,1.083420042826131
Row 4,0.10344827586206896,0.937862149848589
Row 5,0.13793103448275862,0.9796655004078352
Row 6,0.1724137931034483,0.9380002821803761
Row 7,0.20689655172413793,0.9710190094761234
Row 8,0.24137931034482757,0.9947190386300578
Row 9,0.27586206896551724,1.032777403416647
Row 10,0.3103448275862069,1.0163008400669562
Row 11,0.3448275862068966,1.0299519952328149
Row 12,0.3793103448275862,0.9285354623260602
Row 13,0.41379310344827586,0.8438659959061471
Row 14,0.4482758620689655,0.9410874990663224
Row 15,0.48275862068965514,0.8256376351707783
Row 16,0.5172413793103449,0.7620340744352814
Row 17,0.5517241379310345,0.7459991266118561
Row 18,0.5862068965517241,0.7067034046862707
Row 19,0.6206896551724138,0.7259728275907323
Row 20,0.6551724137931034,0.7486473190649915
Row 21,0.6896551724137931,0.7150959692104382
Row 22,0.7241379310344828,0.7064016034517594
Row 23,0.7586206896551724,0.6140295807467725
Row 24,0.7931034482758621,0.5650599149827348
Row 25,0.8275862068965517,0.7135809246097061
Row 26,0.8620689655172413,0.6249173492962348
Row 27,0.896551724137931,0.49437275100968636
Row 28,0.9310344827586207,0.4093557347665585
Row 29,0.9655172413793103,0.24647750386844536
Row 30,1.0,0.03364377290395388
