,t,y(t)
Row 1,0.0,0.9316287434864388
Row 2,0.034482758620689655,1.0700961564178062
Row 3,0.06896551724137931,1.0888496036964819
Row 4,0.10344827586206896,0.9822400331435538
Row 5,0.13793103448275862,1.0240864042930684
Row 6,0.1724137931034483,0.9472729614898342
Row 7,0.20689655172413793,0.9250692120186693
Row 8,0.24137931034482757,0.9840207421029888
Row 9,0.27586206896551724,0.8392715829107406
Row 10,0.3103448275862069,0.9561713777290118
Row 11,0.3448275862068966,1.0595128878505105
Row 12,0.3793103448275862,0.9044543069923213
Row 13,0.41379310344827586,0.8394749694535079
Row 14,0.4482758620689655,0.8856985515405009
Row 15,0.48275862068965514,0.7675304816509358
Row 16,0.5172413793103449,0.8626825881795598
Row 17,0.5517241379310345,0.8234702759575183
Row 18,0.5862068965517241,0.7781056865145443
Row 19,0.6206896551724138,0.8200535680820361
Row 20,0.6551724137931034,0.7313577712740746
Row 21,0.6896551724137931,0.7614152531026885
Row 22,0.7241379310344828,0.7376155620744937
Row 23,0.7586206896551724,0.7030821808197534
Row 24,0.7931034482758621,0.6891163948602903
Row 25,0.8275862068965517,0.5545421511442167
Row 26,0.8620689655172413,0.3460289930633403
Row 27,0.896551724137931,0.41880308383670656
Row 28,0.9310344827586207,0.3894445960081473
Row 29,0.9655172413793103,0.3787941037384813
Row 30,1.0,-0.08422513592357657
