,t,y(t)
Row 1,0.0,0.9604458543785989
Row 2,0.034482758620689655,0.8478109097397755
Row 3,0.06896551724137931,0.9346736653314436
Row 4,0.10344827586206896,0.8229601056045627
Row 5,0.13793103448275862,0.9664537883942665
Row 6,0.1724137931034483,1.0868655150524507
Row 7,0.20689655172413793,1.0388839461276496
Row 8,0.24137931034482757,1.0394003338974978
Row 9,0.27586206896551724,0.9840530927554677
Row 10,0.3103448275862069,1.16876343216787
Row 11,0.3448275862068966,0.9899226049296256
Row 12,0.3793103448275862,0.7533441820728085
Row 13,0.41379310344827586,1.1567388317662273
Row 14,0.4482758620689655,0.8625309500431988
Row 15,0.48275862068965514,0.8079657825244109
Row 16,0.5172413793103449,0.9087870024106555
Row 17,0.5517241379310345,0.8996075722662967
Row 18,0.5862068965517241,0.6980636359611132
Row 19,0.6206896551724138,0.9173922693789439
Row 20,0.6551724137931034,0.6570834829215482
Row 21,0.6896551724137931,0.8269942694397776
Row 22,0.7241379310344828,0.6083401874006233
Row 23,0.7586206896551724,0.6516389043004396
Row 24,0.7931034482758621,0.6404849450449889
Row 25,0.8275862068965517,0.7181535372963526
Row 26,0.8620689655172413,0.36579064833893393
Row 27,0.896551724137931,0.4157343893389413
Row 28,0.9310344827586207,0.2884846530460567
Row 29,0.9655172413793103,0.1841272211343146
Row 30,1.0,0.01862141031740488
