,t,y(t)
Row 1,0.0,1.0654207157406255
Row 2,0.034482758620689655,0.7988832719142649
Row 3,0.06896551724137931,0.5875856789969081
Row 4,0.10344827586206896,1.1605990385318863
Row 5,0.13793103448275862,0.3954022513483244
Row 6,0.1724137931034483,0.2755924723458829
Row 7,0.20689655172413793,0.7404823841284892
Row 8,0.24137931034482757,0.7020761662754128
Row 9,0.27586206896551724,1.0267537833943081
Row 10,0.3103448275862069,0.8546860970817933
Row 11,0.3448275862068966,0.966670180720358
Row 12,0.3793103448275862,0.5910753587806485
Row 13,0.41379310344827586,0.8070894458211698
Row 14,0.4482758620689655,0.9971210218346165
Row 15,0.48275862068965514,0.834155724044035
Row 16,0.5172413793103449,0.33662184163090164
Row 17,0.5517241379310345,0.7189981271557517
Row 18,0.5862068965517241,0.20539403435383197
Row 19,0.6206896551724138,0.6707900298791889
Row 20,0.6551724137931034,0.938256370791037
Row 21,0.6896551724137931,0.3168750485236828
Row 22,0.7241379310344828,0.9491822152116629
Row 23,0.7586206896551724,0.628637635937139
Row 24,0.7931034482758621,0.3695300058956485
Row 25,0.8275862068965517,0.5699129101646361
Row 26,0.8620689655172413,-0.12599875983128378
Row 27,0.896551724137931,0.1656307052104582
Row 28,0.9310344827586207,0.022594018118036296
Row 29,0.9655172413793103,0.03499566892283302
Row 30,1.0,0.25825769997522113
