,t,y(t)
Row 1,0.0,1.1412926858360166
Row 2,0.034482758620689655,0.9732765157720139
Row 3,0.06896551724137931,0.9416748474530036
Row 4,0.10344827586206896,1.0555845799858072
Row 5,0.13793103448275862,0.8044009165972132
Row 6,0.1724137931034483,1.0051659150395185
Row 7,0.20689655172413793,0.9808727546228153
Row 8,0.24137931034482757,1.0620882175709574
Row 9,0.27586206896551724,0.8956503232489837
Row 10,0.3103448275862069,0.9599077653114798
Row 11,0.3448275862068966,0.8693293611234132
Row 12,0.3793103448275862,0.8472769690610484
Row 13,0.41379310344827586,0.6478596254279102
Row 14,0.4482758620689655,0.7031460399341131
Row 15,0.48275862068965514,0.7043000551241779
Row 16,0.5172413793103449,0.6637891456216403
Row 17,0.5517241379310345,0.7647122555672947
Row 18,0.5862068965517241,0.6038127211536053
Row 19,0.6206896551724138,0.805331178757851
Row 20,0.6551724137931034,0.7034126469932009
Row 21,0.6896551724137931,0.6463132297694301
Row 22,0.7241379310344828,0.44647591979104245
Row 23,0.7586206896551724,0.4265401056961016
Row 24,0.7931034482758621,0.18206252389861594
Row 25,0.8275862068965517,0.3225484473988006
Row 26,0.8620689655172413,0.24281757834836842
Row 27,0.896551724137931,0.22625872329073635
Row 28,0.9310344827586207,0.07280773143778486
Row 29,0.9655172413793103,-0.03479848596167609
Row 30,1.0,0.008309740107544723
